id,name,country,date,clouds,humidity,lat,lon,temp_max,wind_speed
6089179,Normandin,CA,1551888000,90,65,48.84,-72.53,6.8,16.11
1737486,Bintulu,MY,1551888000,75,94,3.17,113.03,78.8,2.24
2319078,Wawa,NG,1551891072,44,32,9.9,4.41,96.02,4.99
5071348,Kearney,US,1551890742,90,73,40.7,-99.08,26.01,10.29
1847947,Shingu,JP,1551891067,100,100,33.72,135.99,55.7,22.55
3437029,San Patricio,PY,1551891073,12,69,-26.98,-56.83,86.66,0.74
675840,Esna,RO,1551891073,0,67,45.2,27.57,43.82,8.79
6201424,Mataura,NZ,1551890406,0,52,-46.19,168.86,66.99,14.0
3860443,Comodoro Rivadavia,AR,1551888000,40,33,-45.87,-67.48,75.2,27.51
477039,Pavlovskiy,RU,1551888000,40,93,45.07,37.77,46.4,6.71
3395458,Maragogi,BR,1551891074,92,82,-9.01,-35.22,82.57,10.69
3899695,Ancud,CL,1551888000,90,93,-41.87,-73.83,62.6,9.17
2170581,Coolum Beach,AU,1551891006,92,99,-26.53,153.09,73.99,1.01
2034691,Songjianghe,CN,1551891074,0,70,42.18,127.48,11.29,3.09
3026644,Souillac,FR,1551891068,0,76,45.6,-0.6,59.0,12.75
1505579,Inta,RU,1551891075,80,82,66.04,60.13,13.81,2.86
2122104,Petropavlovsk-Kamchatskiy,RU,1551888000,80,66,53.05,158.65,14.0,8.95
6165406,Thompson,CA,1551888000,20,64,55.74,-97.86,-0.41,12.75
5106834,Albany,US,1551890890,40,41,42.65,-73.75,24.01,17.22
3874787,Punta Arenas,CL,1551890597,75,100,-53.16,-70.91,48.2,10.29
3453060,Pontes e Lacerda,BR,1551890811,32,88,-15.23,-59.33,85.76,5.77
2470260,Jabinyanah,TN,1551888000,20,28,35.03,10.91,71.6,13.87
934322,Mahebourg,MU,1551890944,40,74,-20.41,57.7,80.6,4.7
4030556,Rikitea,PF,1551890972,64,95,-23.12,-134.97,81.53,19.3
5354943,Half Moon Bay,US,1551891074,75,87,37.46,-122.43,57.2,5.82
2075265,Busselton,AU,1551890810,100,39,-33.64,115.35,73.0,9.46
1786455,Yishui,CN,1551891076,0,62,35.78,118.63,31.4,10.58
3840092,Puerto Madryn,AR,1551891030,0,46,-42.77,-65.04,78.79,24.9
2208248,Kaitangata,NZ,1551890859,0,74,-46.28,169.85,55.99,3.0
262462,Saint George,GR,1551887400,20,37,39.45,22.34,68.0,4.7
2175403,Bluff,AU,1551890979,0,91,-23.58,149.07,73.34,6.78
3366880,Hermanus,ZA,1551890791,0,88,-34.42,19.24,70.0,5.99
229397,Paranga,UG,1551891077,76,54,3.18,31.04,77.44,4.43
1273574,Vaini,IN,1551890976,0,84,15.34,74.49,60.29,2.42
5513343,Sunrise Manor,US,1551891031,75,87,36.21,-115.07,55.99,1.12
4407665,Kodiak,US,1551890912,1,27,39.95,-94.76,27.0,10.29
5905393,Bonavista,CA,1551890725,92,75,48.65,-53.11,25.0,3.0
98182,Baghdad,IQ,1551888000,20,42,33.3,44.38,64.4,9.17
5848280,Kapaa,US,1551890864,20,73,22.08,-159.32,69.8,21.92
1281256,Gamba,CN,1551891079,8,31,28.28,88.52,-12.07,2.19
6320062,Vila Velha,BR,1551890865,90,83,-3.71,-38.6,79.0,9.17
3420846,Qaqortoq,GL,1551887400,75,31,60.72,-46.03,33.8,40.26
4035715,Avarua,CK,1551888000,80,69,-21.21,-159.78,78.8,9.17
3378644,Georgetown,GY,1551888000,40,74,6.8,-58.16,86.0,16.11
2013465,Verkhoyansk,RU,1551891080,36,32,67.55,133.39,-23.23,2.64
6166142,Thunder Bay,CA,1551890756,75,60,48.41,-89.26,17.01,3.36
1015776,Bredasdorp,ZA,1551890770,0,65,-34.53,20.04,77.0,19.46
3533462,Acapulco,MX,1551886800,5,61,16.86,-99.88,82.4,6.93
2110227,Butaritari,KI,1551891068,80,100,3.07,172.79,79.69,6.78
344979,Lebu,ET,1551891065,0,84,8.96,38.73,52.51,2.75
2112802,Hasaki,JP,1551890977,75,100,35.73,140.83,51.01,2.24
2069194,Jamestown,AU,1551890975,0,87,-33.21,138.6,43.37,5.99
2014718,Tynda,RU,1551891081,36,55,55.15,124.74,4.99,2.42
2017155,Saskylakh,RU,1551891007,68,73,71.97,114.09,0.04,10.25
3833367,Ushuaia,AR,1551888000,75,85,-54.81,-68.31,44.6,27.51
2126710,Beringovskiy,RU,1551891082,80,91,63.05,179.32,24.92,6.89
2067089,Maningrida,AU,1551891082,56,93,-12.05,134.23,80.09,3.09
3372707,Ribeira Grande,PT,1551888000,75,87,38.52,-28.7,60.8,19.46
2109528,Buala,SB,1551891083,92,91,-8.15,159.59,82.12,6.22
6111862,Port Hardy,CA,1551888000,75,92,50.7,-127.42,24.8,4.7
3671450,Inirida,CO,1551891083,8,63,3.87,-67.92,90.98,2.75
470762,Vyartsilya,RU,1551891084,76,78,62.18,30.69,16.82,16.51
1526273,Astana,KZ,1551888000,90,92,51.13,71.43,26.6,15.66
